First Ending Sent,First Ending Kmeans Distance Metric,Second Ending Sent,Second Ending KMeans Distance Metric
He is happy now.,2.8358510849097627,He joined a gang.,2.4679836204316823
The brownies are so delicious Laverne eats two of them.,2.1403760805150327,Laverne doesn't go to her friend's party.,2.2863890926191193
Sarah then decided to move to Europe.,2.5751340752767855,Sarah decided that she preferred her home over Europe.,2.599021649364381
Gina liked the cookies so much she ate them all in one sitting.,2.355129814374475,Gina gave the cookies away at her church.,2.4938847686364984
I was very proud of my performance.,2.343971557011103,I was very ashamed of my performance.,2.427208174773504
Jim took time to decide what he would take a picture of.,2.799485839048905,Jim took 20 more photos.,2.8604569844028207
Ron is immediately fired for insubordination.,2.683401622032558,His boss commends him for a job well done.,2.4921870206919605
"In Vegas, John and Billy competed against eighty contestants.",2.3932273669156174,John and Billy were disappointed.,2.5832163211230315
But she gave up.,2.197294722400585,"Later, she passed the test.",1.9100924145246965
Eventually Trish grudgingly came to accept nature.,2.540225673987959,The fish had very interesting mating habits.,2.804141801067084
Tony enjoyed going on the cruise.,2.701423551918736,Tony was scared of the ocean.,2.8514245848449318
Ignacio gave up swimming.,2.178536162143028,Ignacio won a silver medal.,2.0910416230761726
Danny decided to go to sleep.,2.5235021296287607,They prepared for the start of the race.,2.5798513555704905
Mary disliked Pandas.,2.203270935212589,Mary couldn't wait to present her report.,2.1779102198736098
Ellen ended up winning the prize.,2.390343827405,Ellen had to pay a replacement fee for her library card.,2.5483737982800463
"Jesse went to the park with his new friend, Roger.",2.3910234749344985,Jesse was picked on by the other boys in school.,2.1832012124604865
Tiffany went in to work the next day.,2.4226103816517277,She was in pain but happy to not have to go to work.,2.417259139608161
But she didn't want her phone anymore.,2.677309686274822,She found her phone in the car.,2.5245133909626385
Alice called her mother and apologized profusely.,2.3673955393255603,Alice messaged a cute guy she saw on Tinder.,2.546769755093162
Ted continues to watch several movies a week.,1.7141241385941153,He decides to stop watching movies.,1.9462918221445809
She loved it so much she planned a trip for the next week.,2.436849024167816,She was shot and vowed to never go there again.,2.464748206266163
Javier decides to get a smartphone.,2.107792010490443,But then he misses his old phone.,2.0357343608999496
Rachel broke down in tears.,2.418843756792068,Rachel started moonwalking with excitement.,2.4538207121412103
Ron started collecting bottle caps.,3.044002087901194,Ron applauded the officer's performance.,2.8289040822380427
Sam went on a diet.,2.7133503090697277,Sam was happy.,2.9690326977700128
Larry loved going to the hospital.,2.958836952524139,Larry became careful.,2.966802847219242
Soon we were boyfriend and girlfriend and thinking of marriage.,2.814257002437474,We broke up right away.,2.7113979759399425
Sammy was not that into coffee.,2.2362341234903993,It worked for Sammy.,2.5402711033167082
Jared swerved quickly and managed to avoid a collision.,2.754842348338615,Jared decided to accelerate.,2.700677317525317
Joe thought about working in the garden as he ate the yummy soup.,1.9070599928330185,Joe dumped the pot outside because he hated soup.,2.0219893655516494
"Aliza was sad, but she never contacted him again.",2.395883255892242,He fell in love with Aliza and they were married.,2.3419214131295276
Lina now knew that candy canes were boring.,2.4859714232356884,Lina felt a new appreciation for candy canes.,2.418843243282352
They were very friendly.,2.660963479453521,I threw the kickball through their closed window.,2.3893153198893073
"By Sunday night, Bev was exhausted again.",2.4482185369445064,"Bev got the mail and fed the fish, just like she did every day.",2.6057289816445786
We walked 5 growling dogs at the park across town.,3.0182628358242427,We had a great pizza at Frank Pepe's pizza shop.,2.5707189988689425
Bernice went to Europe for her birthday.,1.7069860892685602,Bernice decided to get an airplane ticket and reserve a room.,1.6717033851318313
He was surprised but thankful.,3.0765733804016078,Jim thought he was crazy and left.,3.0039667517301583
Randy told his friend how relieved he was he found it.,2.32107087654555,Randy saw the house but kept on driving and didn't come back.,2.316741287755894
Watching my brother crash was fun.,2.5503928947752152,I felt very badly for my brother.,2.6781947602650535
Anna felt very fashionable when she left the salon.,2.3498294897103946,Anna really liked her new hairstyle.,2.2684354234786763
Sarah was glad they were able to catch up.,2.6682076238003765,Sarah and david went to go get dinner right after that.,2.531988262588844
AJ then began to feel sad.,2.3267852971779486,AJ let out a sigh of relief.,2.368950057341107
Joe was happy the shirt fit.,2.3194152337484075,Joe hated rock music afterwards.,2.507977622927646
Priya thought her food was delicious.,2.5709411506998894,Priya decided not to eat and left.,2.749717506862276
Karen hated her roommate.,2.89329135690062,Karen became good friends with her roommate.,2.719689434884211
Eventually I healed.,2.750530348625551,I found I loved being swollen.,2.719697148547527
Don hated elections.,2.4168785174435206,Donald hoped this foolishness won him the election.,2.1361113886626923
They were divorced a few months later.,2.555115312447575,They fell back in love and stayed together forever.,2.5411437503518948
Rachel was excited to hear the news.,2.097593086658398,The vet treated her cat's cancer the best they could.,1.8456198977194576
Jim is very upset.,2.3708008361836526,Jim was happy to see the officer.,2.2331709160145685
"He said I was paranoid, and charged me $100.",2.9492736311486167,It turned out I was allergic to avocados.,2.3652880627419037
David then uploaded his new video.,2.6885437504911787,David then had his manuscript published.,2.3383813957582396
